batch_id,paper_id,title,authors,year,year_basis,venue,publication_status,paper_type,citation_count,doi_or_identifier,open_source,open_source_notes,task_domain,primary_problem,long_horizon,language_conditioned,human_robot_interaction,uses_world_model,world_model_family,world_model_detail,predictive_space,prediction_target,action_conditioned,video_prediction,uses_planning,planning_method,planning_representation,planning_horizon,horizon_basis,hierarchical_planning,replanning_online,planning_role,learning_type,policy_type,pretraining,observation_modality,goal_representation,action_space,benchmark,robot_platform,simulation,real_robot,main_contribution,novelty,limitations,future_work,evidence_world_model,evidence_planning,evidence_horizon,confidence,review_flags,source_document
batch_04,B04-005,FurnitureBench: Reproducible Real-World Benchmark for Long-Horizon Complex Manipulation,Minho Heo; Youngwoon Lee; Doohyun Lee; Joseph J. Lim,2023,Robotics: Science and Systems 2023,Robotics: Science and Systems (RSS),Peer-reviewed conference article,Benchmark,,RSS 2023,Yes,"Code, data, simulator, furniture models, and setup instructions are released at https://github.com/clvrai/furniture-bench",Long-Horizon Manipulation; Furniture Assembly,Benchmark; Imitation Learning; Offline Reinforcement Learning; Task and Motion Planning,Yes,No,No,No,None,N/A — the paper introduces a benchmark and evaluates BC and IQL baselines rather than a predictive world model.,N/A,N/A,N/A,No,No — no new planner is proposed,None,N/A,N/A,"The benchmark tasks last approximately 600–2300 low-level steps or 60–230 seconds, but the baseline methods are direct learned policies rather than explicit planners.",N/A — the task itself has hierarchical phases,N/A,N/A,Benchmark; Imitation Learning; Offline Reinforcement Learning,Behavior Cloning and IQL baselines,"Baseline-dependent — ResNet, R3M, and VIP visual encoders are evaluated",Front RGB; wrist RGB; robot proprioception,Task-specific furniture assembly objective and phase completion,Continuous end-effector pose command plus gripper control,FurnitureBench; FurnitureSim; eight furniture models with single-skill and full-assembly evaluations,Franka Emika Panda,Yes,Yes,"Provides a reproducible real-world and simulated benchmark for long-horizon furniture assembly, including more than 200 hours and 5,000 teleoperated demonstrations.","Combines realistic 600–2300-step assembly tasks, standardized hardware and initialization, 3D-printable objects, a large dataset, and a paired simulator.","Furniture is simplified and smaller than real furniture, the setup uses one Franka arm, evaluation is mainly single-task, and FurnitureSim retains significant visual and physical sim-to-real gaps.","Study multitask and multi-embodiment learning, extend to multi-arm and multi-robot collaboration, improve system identification, close sim-to-real gaps, and improve sample and demonstration efficiency.",The paper benchmarks BC and offline RL policies and does not learn a predictive environment model.,"Furniture assembly requires high-level ordering and path planning, but the paper itself contributes the benchmark rather than a new planner.","Assembly episodes span roughly 60–230 seconds and 600–2300 low-level steps with repeated grasp, align, insert, screw, and regrasp phases.",High,"Core long-horizon benchmark. Exclude from method-only planner and world-model counts, but use heavily in benchmark and horizon analyses.",FurnitureBench_ Reproducible Real-World Benchmark for Long-Horizon Complex Manipulation.txt
batch_05,B05-001,Hierarchical World Models as Visual Whole-Body Humanoid Controllers,Nicklas Hansen; Jyothir S V; Vlad Sobal; Yann LeCun; Xiaolong Wang; Hao Su,2024,First public appearance: arXiv:2405.18418 in May 2024; published at ICLR 2025,International Conference on Learning Representations (ICLR),Peer-reviewed conference article,Method,,arXiv:2405.18418,Yes,"Code, environments, and checkpoints are released through the Puppeteer project page.",Humanoid Control; Locomotion; General Robotics,World Modeling; Model-Based Reinforcement Learning; Hierarchical Control,No / Unclear,No,No,Yes,Latent Dynamics,Two independently trained TD-MPC2 decoder-free latent world models: a high-level visual puppeteer and a reusable low-level motion-tracking controller.,Latent,Next latent state; reward; termination; terminal value,Yes,No,Yes,MPC; Hierarchical; MPPI,Latent,Short,Both levels use TD-MPC2 planning with H=3; the hierarchy is architectural rather than a long temporal abstraction.,Yes,Yes,Full End-to-End Planner,Online Model-Based Reinforcement Learning; Motion-Capture Pretraining,Hierarchical TD-MPC2 controller with policy priors,Yes — the low-level tracking model is pretrained on retargeted CMU motion-capture data,RGB; proprioception; contact sensing; abstract reference commands,Reward-defined locomotion task; geometric end-effector reference command,Continuous: 56-dimensional joint control at the low level and 15-dimensional geometric commands at the high level,"Custom 8-task visual whole-body humanoid-control suite: corridor, hurdles, walls, gaps, stairs, stand, walk, run",Simulated 56-DoF CMU Humanoid in DM Control / MuJoCo,Yes,No,Introduces a two-level latent world-model controller that converts visual task observations into reusable geometric motion commands and joint-level humanoid control.,Uses algorithmically identical TD-MPC2 world models at both hierarchy levels while learning human-like motion without hand-designed skill primitives or imitation rewards.,"Evaluation is simulation-only and primarily locomotion-focused; the hierarchy has only two levels, and most experiments pretrain only the low-level model.","Broaden the task suite and study pretraining, transfer, and reuse of the complete hierarchical world model.","Each level learns an action-conditioned latent transition, reward, value, termination, and policy-prior model without reconstructing raw observations.",Both the high-level command sequence and low-level joint-action sequence are optimized with TD-MPC2's MPPI-based MPC.,The planner horizon is H=3 and episodes can last 500 steps; the tasks are sustained control rather than task-level long-horizon decomposition.,High,"Core hierarchical world-model paper, but not long-horizon manipulation; keep task horizon separate from its two-level architecture.",Hierarchical World Models as Visual Whole-Body Humanoid Controllers.txt
batch_05,B05-002,IKEA Furniture Assembly Environment for Long-Horizon Complex Manipulation Tasks,Youngwoon Lee; Edward S. Hu; Zhengyu Yang; Alex Yin; Joseph J. Lim,2019,First public appearance: arXiv:1911.07246 on 17 Nov 2019,arXiv,Preprint,Benchmark,,arXiv:1911.07246,Yes,The simulation environment is publicly released through the project website.,Long-Horizon Manipulation; Furniture Assembly,Benchmark; Simulation Environment; Planning; Control,Yes,No,No,No,None,N/A — the contribution is a configurable simulation environment rather than a learned predictive model.,N/A,N/A,N/A,No,No — no new planner is proposed,None,N/A,N/A,"Furniture assembly is explicitly hierarchical and long-horizon, but the paper contributes the environment rather than a planning algorithm.",N/A — the benchmark task has a hierarchical structure,N/A,N/A,Benchmark Environment; Reinforcement Learning Testbed,N/A,N/A,RGB; segmentation; depth; goal image; robot joint state; scene-graph and pose labels,Completed furniture configuration / goal image,Joint torque or task-space control; motion primitives; explicit connect action,IKEA Furniture Assembly Environment with more than 80 furniture models,Sawyer; Baxter; Cursor agent,Yes,No,"Provides an early standardized simulation environment for long-horizon furniture assembly with realistic rendering, diverse robots, and extensive domain randomization.","Combines MuJoCo physics and Unity rendering with more than 80 furniture models and hierarchical assembly tasks spanning part selection, grasping, alignment, and attachment.","Screwing and attachment are abstracted as connector snapping, identical parts are not interchangeable, and the environment does not directly establish real-world transfer.","Add realistic attachment and tool use, more robot and gripper types, multi-agent assembly, teleoperation demonstrations, and language or visual instructions.",The paper suggests model-based RL as future work but does not learn or evaluate a world model.,"The environment is designed for high-level planning and hierarchical RL, but no planner is introduced in the paper.","Assembly repeatedly selects, grasps, aligns, and attaches parts until the full furniture object is complete.",High,Precursor benchmark to FurnitureBench; keep as a distinct simulation-only 2019 entry rather than treating it as a duplicate.,IKEA Furniture Assembly Environment for Long-Horizon Complex Manipulation Tasks.txt
batch_05,B05-003,Inner Monologue: Embodied Reasoning through Planning with Language Models,Wenlong Huang; Fei Xia; Ted Xiao; Harris Chan; Jacky Liang; Pete Florence; Andy Zeng; Jonathan Tompson; Igor Mordatch; Yevgen Chebotar; Pierre Sermanet; Noah Brown; Tomas Jackson; Linda Luu; Sergey Levine; Karol Hausman; Brian Ichter,2022,First public appearance: arXiv:2207.05608 in July 2022; published in the CoRL 2022 proceedings released in 2023,Conference on Robot Learning (CoRL),Peer-reviewed conference article,Method,,arXiv:2207.05608; PMLR 205,Yes,"Project website provides paper, videos, and supplementary material; no end-to-end code release was established from the supplied manuscript.",Manipulation; Mobile Manipulation; Embodied AI,Planning; Embodied Reasoning; Closed-Loop Language Feedback,Yes,Yes,Yes,No,None,"N/A — the system grounds a frozen LLM with textual feedback, value functions, perception modules, and pretrained skills rather than learned environment dynamics.",N/A,N/A,N/A,No,Yes,Language Planner; Hierarchical,Symbolic language / skill sequence,Long,The LLM iteratively selects short-horizon skills for unseen multi-step tabletop and mobile-manipulation instructions.,Yes,Yes,High-Level Planner,Few-Shot Prompting; Pretrained Skill Composition,Skill Library,"Yes — frozen LLMs, perception models, affordance/value functions, and low-level policies",Language; RGB or RGB-D; textual scene descriptions; success detectors; human feedback,Natural-language instruction,Discrete selection from pretrained manipulation and navigation skills,Simulated tabletop rearrangement; real UR5e tabletop rearrangement; real office-kitchen mobile manipulation,UR5e; Everyday Robots mobile manipulator; simulated tabletop robot,Yes,Yes,"Closes the LLM planning loop by continually injecting textual success, scene, and human feedback so the robot can retry, replan, and ask clarifying questions.","Uses natural language as a common feedback interface across multiple LLM planners, perception systems, skill libraries, simulations, and real robots without additional model training.","Some experiments assume oracle scene descriptions; failures can arise from success detectors, LLM plans, or controllers, and overall capability remains bounded by the low-level skill library.","Automate scene feedback with captioning and VQA, represent feedback uncertainty, and add safety and ethics feedback modules.",The planner reacts to textual observations but does not learn an action-conditioned predictive model of the environment.,"A pretrained LLM selects and sequences short-horizon skills, then incorporates success and scene feedback before producing subsequent steps.","The system evaluates unseen long-horizon sorting, navigation, drawer, and mobile-manipulation tasks that require multiple skill calls.",High,Core closed-loop long-horizon language-planning paper; distinguish reactive textual feedback from learned world-model prediction.,Inner Monologue_ Embodied Reasoning through Planning with Language Models.txt
batch_05,B05-004,IntentVLA: Short-Horizon Intent Modeling for Aliased Robot Manipulation,Shijie Lian; Bin Yu; Xiaopeng Lin; Zhaolong Shen; Laurence Tianruo Yang; Yurun Jin; Haishan Liu; Changti Wu; Hang Yuan; Cong Huang; Kai Chen,2026,First public appearance: arXiv:2605.14712 on 14 May 2026,arXiv,Work in progress / preprint,Method,,arXiv:2605.14712,Yes,The manuscript links a public GitHub repository.,Manipulation; Vision-Language-Action Control,Policy Learning; Partial Observability; Short-Horizon Intent Modeling,No,Yes,No,No,None,A frozen VGGT history encoder and Qwen3-VL context produce an intent-conditioned representation for a DiT flow-matching action head; no future environment state is predicted.,N/A,Future action chunk,No,No,No,None — receding-horizon policy execution without explicit search or model rollout,N/A,None,The method stabilizes adjacent action chunks using recent visual history but does not implement a planning algorithm.,No,Yes — action chunks are regenerated from updated observations and recent history,Local Controller,Imitation Learning; Flow Matching; Vision-Language Pretraining,History-Conditioned VLA / DiT Action Policy,Yes — frozen VGGT and Qwen3-VL components,Recent multi-camera RGB history; current RGB; language,Natural-language instruction,Continuous action chunks,AliasBench; SimplerEnv; LIBERO; RoboCasa,"Simulation-only benchmark-specific manipulators, including RoboTwin2 environments",Yes,No,Uses compact recent visual history to preserve a demonstrator's local action intent across adjacent VLA action chunks under observation aliasing.,Introduces AliasBench and a gated history-to-current-context fusion that avoids feeding all past frames directly through the large VLA backbone.,"Recent-window intent cannot solve sparse long-term memory or major recovery problems, and all evaluations are simulation-based.","Evaluate on physical robots, compare broader memory-centric VLA backbones, and develop interpretable intent probes and adaptive history selection.","The model predicts actions conditioned on history; it does not predict future observations, latent environment states, rewards, or dynamics.","Receding-horizon chunk sampling is direct policy inference rather than MPC, search, or task decomposition.",The paper explicitly targets short-horizon ambiguity and states that it is not a complete solution to long-term memory or planning.,High,VLA policy and benchmark paper; exclude from world-model and explicit-planning counts despite its temporal history module.,IntentVLA_ Short-Horizon Intent Modeling for Aliased Robot Manipulation.txt
batch_05,B05-005,IQL-TD-MPC: Implicit Q-Learning for Hierarchical Model Predictive Control,Rohan Chitnis; Yingchen Xu; Bobak Hashemi; Lucas Lehnert; Urun Dogan; Zheqing Zhu; Olivier Delalleau,2023,First public appearance: arXiv:2306.00867 on 1 Jun 2023,arXiv,Preprint / under review in supplied manuscript,Method,,arXiv:2306.00867,Unknown,"A project website and video results are available, but a dedicated code release was not established from the supplied manuscript.",Navigation; Locomotion; General Continuous Control,World Modeling; Offline Reinforcement Learning; Hierarchical Planning,Yes,No,No,Yes,Latent Dynamics,Offline TD-MPC augmented with Implicit Q-Learning; a temporally abstract manager learns a latent action-conditioned model and generates intent embeddings for an arbitrary offline-RL worker.,Latent,Temporally abstract future latent state; reward; value,Yes,No,Yes,MPC; Hierarchical; CEM,Latent,Medium,"The manager plans H=4 abstract steps with temporal coarseness k=8, corresponding to 32 environment steps.",Yes,Yes — the manager recomputes intent embeddings using MPC during evaluation,High-Level Planner,Offline Model-Based Reinforcement Learning; Implicit Q-Learning,Manager-Worker Offline RL,Yes — the manager is trained offline before worker training and evaluation,Low-dimensional environment state,Reward-defined objective represented through learned latent intent embeddings,Continuous environment actions for workers; discrete latent manager actions,D4RL Maze2D; AntMaze; HalfCheetah; Walker2D; Hopper,Simulation-only D4RL agents,Yes,No,Adapts TD-MPC to offline data with IQL and uses a temporally abstract model-based manager to supply latent subgoal-like intent embeddings to arbitrary offline-RL workers.,Improves multiple otherwise unchanged worker algorithms through simple state concatenation with manager-generated intent embeddings.,"Hierarchy harms some fine-grained locomotion tasks, the worker does not explicitly optimize toward the intent, the abstraction timescale is fixed, and manager rollouts are computationally expensive.","Use model-based workers, learn adaptive manager timescales, understand harmful intents, and accelerate world-model rollout with more parallel architectures.","The manager learns an encoder, action-conditioned latent dynamics, reward model, critic, and policy used for abstract MPC.",CEM-based MPC optimizes manager action sequences whose resulting latent intent is concatenated to the worker state.,"Although H=4 is short in abstract steps, k=8 makes it a 32-environment-step medium planning horizon on long-horizon sparse-reward tasks.",High,Core hierarchical world-model planning paper outside manipulation; task-level long-horizon is Yes while explicit planning_horizon is Medium.,IQL-TD-MPC_ Implicit Q-Learning for Hierarchical Model Predictive Control.txt
batch_06,B06-001,Is Sora a World Simulator? A Comprehensive Survey on General World Models and Beyond,Zheng Zhu; Xiaofeng Wang; Wangbo Zhao; Chen Min; Bohan Li; Nianchen Deng; Min Dou; Yuqi Wang; Botian Shi; Kai Wang; Chi Zhang; Yang You; Zhaoxiang Zhang; Dawei Zhao; Liang Xiao; Jian Zhao; Jiwen Lu; Guan Huang,2024,First public appearance: arXiv:2405.03520 in May 2024; supplied revision and IEEE TPAMI manuscript are dated 2025,IEEE Transactions on Pattern Analysis and Machine Intelligence,Journal survey manuscript / revised arXiv version,Survey,,arXiv:2405.03520,Yes,The authors maintain a public General World Models Survey repository.,General AI; Autonomous Driving; Autonomous Agents; Robotics,Survey; General World Models; Video Generation; Autonomous Agents,N/A — survey discusses long-term prediction and decision making,N/A — multiple conditioning paradigms are reviewed,N/A,N/A — survey reviews many world-model families,"N/A — generative video, latent dynamics, JEPA, driving, and agent models reviewed","Frames general world models as systems that understand environments through future prediction, spanning video generation, driving, games, and robotics.",N/A,N/A,N/A,N/A,N/A — multiple planning and policy-learning systems are reviewed,N/A,N/A,N/A,The survey covers predictive decision making over multiple horizons but does not propose one planner.,N/A,N/A,N/A,N/A,N/A,N/A,Multiple: video; text; driving sensors; agent observations,Multiple,Multiple,"Multiple video-generation, autonomous-driving, game, and robotics benchmarks",Multiple,Both / Survey,Both / Survey,"Provides a broad taxonomy and review of general world models across video generation, autonomous driving, and autonomous agents.",Connects generative video modeling to downstream decision systems and explicitly evaluates whether high-fidelity video generators constitute world simulators.,"Current world models remain weak in causal and counterfactual reasoning, physical consistency, action controllability, long-term coherence, data coverage, scalability, evaluation, and safety.","Advance causal reasoning, controllable and interactive generation, multimodal and 3D consistency, real-world simulators, stronger evaluation, scalable data, and safe autonomous-agent deployment.","The survey defines general world models through future prediction and reviews generative, latent, driving, and autonomous-agent approaches.",Planning and policy learning are reviewed as downstream uses of predicted futures rather than as one implemented system.,Long-term dependency and multi-step decision making are identified as open field-level challenges.,High,"Exclude from method-only architecture and performance counts; retain for broad taxonomy, definitions, and challenge analysis.",Is Sora a World Simulator_ A Comprehensive Survey on General World Models and Beyond.txt
batch_06,B06-002,JEPA-VLA: Video Predictive Embedding is Needed for VLA Models,Shangchen Miao; Ningya Feng; Jialong Wu; Ye Lin; Xu He; Dong Li; Mingsheng Long,2026,First public appearance: arXiv:2602.11832 on 12 Feb 2026,arXiv,Preprint,Method,,arXiv:2602.11832,Unknown,No companion code repository was identified in the supplied manuscript.,Manipulation; Vision-Language-Action Control,Policy Learning; Representation Transfer; Generalization,Yes,Yes,No,No,None,"Uses frozen V-JEPA 2 video-predictive embeddings as additional VLA features, but the downstream method does not learn or roll out environment dynamics.",N/A,Future action chunk,No,"No — V-JEPA 2 was pretrained predictively, but JEPA-VLA itself performs action prediction",No,None — direct VLA action generation,N/A,None,"The model generates action chunks and is evaluated on LIBERO Long tasks, but it does not implement search, MPC, or task decomposition.",No,Yes — action chunks are regenerated from current observations and recent frames,Local Controller,Imitation Learning; Vision-Language Pretraining; Predictive Representation Transfer,VLA; linear or OpenVLA-OFT action head,Yes — frozen V-JEPA 2 and pretrained VLM/VLA backbones,Language; current multi-view RGB; two-frame video history; proprioception,Natural-language instruction,"Discrete action tokens or continuous action chunks, depending on the base VLA",LIBERO; LIBERO-plus; RoboTwin2.0; CortexBench; custom real-world pick-and-place,Aloha-AgileX dual-arm simulation; Piper single-arm real robot; benchmark-specific simulated manipulators,Yes,Yes,Shows that video-predictive V-JEPA 2 features provide task-relevant state information and policy priors that improve VLA sample efficiency and generalization.,Introduces early-fusion and gated cross-attention mechanisms for adding predictive video embeddings to both lightly trained and large-scale pretrained VLAs.,"The method uses a simple two-frame predictive representation, evaluates only one real-world task, and does not learn a task-specific dynamics model or explicit planner.","Develop more principled fusion mechanisms and further exploit large-scale video-predictive pretraining for robust, generalizable embodied policies.","A frozen V-JEPA 2 encoder supplies predictive features, while the trained downstream model directly outputs actions rather than future environment states.",No model rollout or candidate action evaluation is described; predictive embeddings condition a standard VLA action model.,"LIBERO Long performance is reported, but the method remains a chunked reactive policy rather than a long-horizon planner.",High,"JEPA-related representation-transfer paper, not a downstream JEPA world model. Include in long-horizon task evaluation but exclude from explicit-planner and world-model counts.",JEPA-VLA_ Video Predictive Embedding is Needed for VLA Models.txt
batch_06,B06-003,Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware,Tony Z. Zhao; Vikash Kumar; Sergey Levine; Chelsea Finn,2023,Published at Robotics: Science and Systems 2023; an earlier public preprint date was not established from the supplied manuscript,Robotics: Science and Systems (RSS),Peer-reviewed conference article,Method,,RSS 2023,Yes,"ALOHA hardware designs, code, datasets, and project materials are publicly released.",Fine-Grained Bimanual Manipulation,Imitation Learning; Teleoperation; Action Chunking,No,No,No,No,None,N/A — ACT directly maps visual and proprioceptive observations to future joint-action chunks.,N/A,Future sequence of absolute bimanual joint positions,No,No,No,None — closed-loop action-chunk policy,N/A,None,"ACT predicts overlapping action chunks to reduce effective trajectory length, but performs no search or model-based planning.",No,Yes — the policy is queried every timestep and temporally ensembles overlapping chunks,Local Controller,Imitation Learning; Conditional Variational Autoencoder,Action Chunking with Transformers (ACT),Yes — ResNet-18 visual backbones; policy trained from task demonstrations,Four RGB cameras; 14-DoF bimanual joint positions,Implicit task goal from task-specific demonstrations,Continuous 14-dimensional absolute joint-position commands,"Two simulated bimanual tasks and six real-world ALOHA tasks, including Ziploc opening, battery insertion, cup opening, Velcro threading, tape preparation, and shoe placement",ALOHA: two ViperX follower arms with WidowX leader arms for teleoperation,Yes,Yes,"Introduces the low-cost ALOHA bimanual teleoperation platform and ACT, a transformer CVAE that predicts temporally ensembled action chunks.",Reduces imitation-learning compounding errors by predicting long action chunks while retaining closed-loop responsiveness through overlapping temporal ensembling.,"Parallel-jaw grippers cannot perform many multi-finger or fingernail-dependent tasks, low-cost motors limit force, and ACT struggles with visually ambiguous deformable-object stages and unseen recovery states.","Not explicitly stated; the limitations motivate stronger hardware, richer sensing, more diverse data, and improved recovery and deformable-object learning.",The paper explicitly favors a learned closed-loop policy over modeling complex contact and deformation dynamics.,ACT directly generates k-step joint commands and averages overlapping predictions; it does not evaluate candidate trajectories through a model.,"Real demonstrations span roughly 400–700 control steps, but each benchmark is an individual fine-manipulation skill rather than task-level long-horizon planning.",High,Important action-chunking and hardware baseline; exclude from world-model and explicit-planning counts.,Learning Fine-Grained Bimanual Manipulation with Low-Cost Hardware.txt
batch_06,B06-004,Learning Latent Graph Dynamics for Visual Manipulation of Deformable Objects,Xiao Ma; David Hsu; Wee Sun Lee,2021,First public appearance: arXiv:2104.12149 in April 2021; supplied revision dated 5 Mar 2022,arXiv,Preprint,Method,,arXiv:2104.12149,Unknown,"A demonstration video is provided, but no code repository was identified in the supplied manuscript.",Deformable Object Manipulation,World Modeling; Planning; Deformable-Object Control,No,No,No,Yes,Object-Centric,G-DOOM learns recurrent graph dynamics over unsupervised visual keypoints and tracks a history-dependent belief to handle self-occlusion.,Object / Graph Latent,"Future keypoint features, recurrent belief state, and manipulation reward",Yes,No,Yes,MPC; Graph-Guided CEM,Object-centric graph latent,Medium,Evaluation permits action sequences of up to 20 steps and repeatedly applies graph-based MPC.,No,Yes,Full End-to-End Planner,Self-Supervised Representation Learning; Contrastive Dynamics Learning,None — actions selected through MPC,Yes — unsupervised Transporter keypoint extractor before graph-dynamics training,Top-down masked depth images,Goal image or learned reward objective,Continuous planar keypoint-centered manipulation actions,Rope straightening; cloth flattening; cloth folding in Nvidia Flex / SoftGym,Kinova Gen3 with Robotiq gripper and Kinect 2.0 depth camera,Yes,Yes,Learns a sparse recurrent graph world model over visual keypoints and uses it for real-time MPC on rope and cloth manipulation.,"Combines unsupervised keypoint discovery, recurrent graph belief tracking, contrastive dynamics learning, and keypoint-guided CEM search.","The evaluated dynamics are relatively smooth and simple; harder tasks such as knot tying or complex garment folding require larger datasets, stronger dynamics models, and longer-horizon planning.",Scale dynamics learning and planning to complex deformable-object tasks requiring richer data and long-horizon reasoning.,An action-conditioned recurrent GNN predicts the evolution of a sparse keypoint-based object representation.,Graph-based MPC initializes candidate action sequences around detected keypoints and selects actions using predicted cumulative reward.,"The maximum evaluation sequence is 20 steps, which is medium under the dataset rule and not task-level long-horizon planning.",High,Core structured latent world-model and MPC paper; useful for object-centric and deformable-manipulation analyses.,Learning Latent Graph Dynamics for Deformable Object Manipulation..txt
batch_06,B06-005,Learning Robot Manipulation from Audio World Models,Fan Zhang; Michael Gienger,2025,First public appearance: arXiv:2512.08405 on 9 Dec 2025,arXiv,Preprint,Method,,arXiv:2512.08405,Unknown,No code or project repository was identified in the supplied manuscript.,Manipulation; Audio-Visual Robot Learning; Dexterous Control,World Modeling; Policy Learning; Multimodal Prediction,No,No,No,Yes,Diffusion,"A transformer latent flow-matching model predicts future audio spectrogram or MIDI representations, which are decoded and supplied to a separate robot policy.",Latent Audio,Future spectrogram or MIDI sequence,No,No,No,None — predicted audio is used as lookahead context for a direct policy,N/A,None,"The world model predicts approximately 2.56 seconds of audio for water filling or 8 seconds of MIDI, while the downstream policies directly output actions.",No,Yes — water-filling predictions and actions are refreshed in closed loop; music is extended autoregressively,Local Controller,Generative Flow Matching; Imitation Learning; Reinforcement Learning,Flow-Matching Manipulation Policy; Soft Actor-Critic for piano playing,Yes — AudioMAE or MusicVAE audio representations,Audio spectrogram or MIDI; RGB image for water filling,Predicted future audio dynamics or generated future note goals,Continuous 6-DoF end-effector velocity chunks; simulated piano joint actions,Custom real-world water filling; RoboPianist-style simulated piano duet on two songs,Kinova Gen3 real robot; simulated piano-playing dexterous agent,Yes,Yes,Introduces an audio world model that predicts physically informative future sound and uses those predictions to improve robot policies when vision is ambiguous.,Treats pitch and rhythm as predictable environment dynamics rather than merely adding audio as an auxiliary current observation.,"The evaluation contains only two specialized tasks, the audio world model is action-free, and generated futures guide a policy without explicit counterfactual action evaluation.","Extend audio world modeling to more complex, fine-grained, and dexterous manipulation tasks.",Latent flow matching predicts future audio states that encode filling progress or upcoming musical structure.,The predicted audio is concatenated into a flow-matching or SAC policy; no candidate action search or world-model-conditioned MPC is used.,"Future audio spans seconds, but the tasks are individual skills and the action policy horizon is 16 steps rather than task-level long-horizon planning.",High,"Core multimodal world-model paper, but exclude from explicit-planner counts because the model supplies predictive context to a direct policy.",Learning Robot Manipulation from Audio World Models.txt
batch_07,B07-001,Long-Horizon Multi-Robot Rearrangement Planning for Construction Assembly,Valentin N. Hartmann; Andreas Orthey; Danny Driess; Ozgur S. Oguz; Marc Toussaint,2021,First public appearance: arXiv:2106.02489 in Jun 2021; supplied revision dated 7 Mar 2022,arXiv,Preprint,Method,,arXiv:2106.02489,Unknown,"The experiments use the publicly available RAI framework, but a paper-specific code release was not established from the supplied manuscript.",Construction Assembly; Multi-Robot Manipulation; Task and Motion Planning,Planning; Multi-Robot Coordination; Construction Assembly,Yes,No,No,No,None,"N/A — the method uses explicit symbolic, geometric, and space-time planning models rather than learned dynamics.",N/A,N/A,N/A,No,Yes,Hierarchical Task and Motion Planning; Optimization; Bi-directional Space-Time RRT,"Hybrid: symbolic task assignments, manipulation constraints, and continuous space-time trajectories",Long,The planner solves construction sequences with up to 113 placed parts and 12 heterogeneous agents by composing limited-horizon subproblems.,Yes,No — the authors state that the current system is too slow for online replanning,Full End-to-End Planner,None — optimization and sampling-based planning,None,No,Structured architectural model; robot and object configurations; manipulation constraints,Target assembly geometry and object goal poses,Hybrid: discrete task assignments and continuous multi-robot trajectories,Tower (15 parts); wall (36); well (52); pavilion (113); handover; real six-box stacking,"Simulated mobile manipulator, mobile KUKA arm, and crane; two real Panda arms",Yes,Yes,Decomposes long-horizon multi-robot construction TAMP into tractable subproblems and coordinates asynchronous agents through space-time planning.,Combines time-embedded keyframe optimization with a bidirectional space-time RRT that plans to unknown arrival times while respecting previously fixed robot trajectories.,"Planning is too slow for online replanning; the formulation assumes monotonic rearrangement, light objects, known start and goal poses, and controlled execution without fastening or structural-support modeling.","Improve keyframe generation and multi-query planning, and incorporate spatial and temporal execution uncertainty for real construction deployment.",The method uses logic-geometric programming and explicit collision and manipulation constraints rather than learning environment dynamics.,"Limited-horizon task assignments, joint manipulation optimization, and bidirectional space-time RRT paths are combined into a complete assembly plan.","Experiments scale to 113 parts and 12 agents, and the paper explicitly targets long-horizon multi-robot assembly.",High,Core classical long-horizon multi-robot TAMP paper; highly relevant as a non-learned planning baseline.,Long-Horizon Multi-Robot Rearrangement Planning for Construction Assembly.txt
